Name,Age,Date_of_Birth,Gender,Marital_Status,BMI,Practicing_Hours_2024_Jan_to_Aug,Dietary_Preference
John Lewis,111,1912-05-30,male,Married,50.0,362,v
Crystal Wilson,85,1938-04-27,m,Single,14.44,52,Vegetarian
Mrs. Tammy Ruiz,2,2021-11-02,Male,single,25.22,473,v
Colleen Riggs,105,1918-11-16,male,Married,47.27,267,Vegetarian
Dr. Briana Barnes,54,1969-10-20,m,single,39.79,220,Non-Vegetarian
Donna Armstrong,88,1935-11-13,male,single,47.41,128,nonveg
Cynthia Parks,5,2018-11-08,m,M,23.4,264,Non-Vegetarian
Shannon Cox,22,2001-06-03,Male,M,27.74,452,nv
Patrick Davis,27,1996-08-14,male,s,49.71,266,Non-Vegetarian
Keith Peterson,91,1932-12-12,F,single,46.26,41,non-veg
Carolyn Baker,109,1914-09-15,Female,Single,25.38,279,Vegetarian
John Fuller,47,1976-06-22,male,Married,43.68,361,Non-Vegetarian
Kendra Gillespie,45,1920-03-13,F,Single,43.51,492,Non Vegetarian
Katie Wilson,85,1919-02-08,male,single,11.71,420,Vegetarian
Patricia Phillips,106,1917-02-15,F,Single,39.84,301,Vegetarian
Alison Ward,68,1955-07-24,male,Single,40.9,234,nv
Robert Cooley,105,1918-01-02,female,Married,41.49,300,v
Martin Thomas,84,1939-05-20,male,M,16.02,244,Non-Vegetarian
Brittany Strickland,66,1938-01-21,Female,single,11.5,171,nonveg
April Robinson,67,1956-07-25,Female,single,23.52,19,v
Mark Durham,55,1968-11-06,Male,Married,29.21,212,Non Vegetarian
Tracey Richardson,34,1957-06-29,Male,married,39.74,157,non-veg
Dean Hawkins,104,1919-02-17,female,Married,22.05,237,Non-Vegetarian
Bradley Richards,16,2007-03-26,F,s,46.76,216,Non Vegetarian
Miranda Mccoy,-31,1935-03-09,F,Single,45.38,310,nv
Arthur Lopez,44,1979-05-10,Male,Married,43.29,37,nv
Nicholas Kim,12,2011-09-25,Female,M,38.06,310,veg
Terri Rowland,100,1923-05-18,F,married,25.4,388,non-veg
Traci Williams,41,1982-01-29,Female,married,25.18,129,non-veg
John Fleming,25,1998-01-14,female,s,15.61,320,nv
Dylan Martin,37,1986-09-05,female,married,20.43,323,non-veg
Kevin Ruiz,22,2001-02-13,male,Married,35.28,307,Non-Vegetarian
Bruce Lowery,23,2000-09-24,m,M,39.03,102,veg
Alexander Haynes,30,1993-10-05,F,s,17.19,230,Non Vegetarian
Michael Suarez,41,1982-09-12,male,single,11.72,384,non-veg
Brendan Bates,-85,1954-03-18,Female,married,19.16,352,nv
Pamela Reynolds,-54,2009-11-17,female,married,33.19,471,Non Vegetarian
Edward Garcia,66,1957-10-23,female,married,25.69,208,nonveg
Allison Miller,102,1921-12-02,female,single,22.92,49,Vegetarian
Lorraine Baker,92,1933-07-28,Female,single,40.37,372,Non-Vegetarian
William Rodriguez,-54,1917-09-03,Male,M,11.01,468,v
William Fleming,62,1961-02-08,Female,Married,14.44,346,Non-Vegetarian
Michael Davis,21,2002-07-06,F,s,44.96,403,Non Vegetarian
Melissa Olsen,84,1991-07-24,m,single,46.82,297,nonveg
Joshua May,-17,1967-01-11,male,single,33.45,292,non-veg
Dakota Reyes,52,1971-11-06,male,single,34.42,436,v
William Miller,-70,1983-07-23,male,s,39.77,47,non-veg
Grant Cooper,46,1952-08-30,m,Married,35.87,461,Vegetarian
Ann Morgan,91,1932-07-08,Male,M,17.56,116,v
Michael Glass,63,1960-01-06,Male,Married,43.8,210,non-veg
Dorothy Gross,108,1915-10-15,male,single,22.74,283,nv
Jane Mcintosh,40,1983-04-11,male,Married,42.27,151,nonveg
Brittney Adams,46,1977-05-15,m,s,16.34,211,veg
Christopher Miller,48,1975-09-29,Male,Married,23.58,488,non-veg
William Hansen,-83,1941-07-22,m,Married,10.92,135,Non-Vegetarian
Michael Hale,63,1960-07-11,m,M,29.09,385,nv
Molly Barton,29,1994-11-23,female,married,36.32,162,Non Vegetarian
John Harris,37,1986-01-31,m,single,15.65,115,non-veg
Maria Owen,32,1991-01-20,F,married,41.61,230,Non-Vegetarian
Tammie Hill,9,2014-03-10,F,M,25.9,417,Non Vegetarian
Nicole Walker,75,1948-01-06,Female,married,33.52,85,Non-Vegetarian
Bob Johnson,1,2022-11-07,F,married,11.95,137,non-veg
Bridget Lambert,86,1937-03-08,Female,s,47.16,490,non-veg
Amy Glass,14,2009-05-18,female,single,25.82,105,Non-Vegetarian
Emma Stone,71,1952-02-19,m,Single,14.06,34,veg
Christopher Choi,85,1938-11-14,male,M,35.23,409,nonveg
Nancy Malone,78,1945-04-29,F,Single,47.79,468,nv
Derek Green,53,1930-07-23,F,single,10.55,177,Vegetarian
Christina Webb MD,66,1957-01-13,female,married,42.2,74,non-veg
Erin Williams,-45,1925-09-25,female,single,45.18,270,veg
Sandra Brown,59,1964-09-14,m,M,14.54,246,Vegetarian
Peter Khan,-69,1973-01-04,male,Single,11.83,268,non-veg
Robert Freeman,41,1982-05-24,female,s,10.07,388,non-veg
Daniel Jacobs,53,1970-09-15,Male,s,47.92,94,Non Vegetarian
Lisa Howard,114,1909-10-01,Female,Single,13.33,494,nv
Francis Burton,99,1924-04-10,F,single,10.61,86,veg
Heidi Jones,27,1996-06-01,Female,married,37.01,115,nv
Brandon Jensen,36,1987-07-12,m,Married,26.71,130,v
Richard Fields,21,2002-07-29,F,M,13.05,461,Non-Vegetarian
Tara Wilson,101,1922-12-14,Male,single,45.69,348,nonveg
Susan Vega,10,2013-10-06,Female,single,44.65,243,non-veg
Philip Key,100,1923-03-07,male,married,39.9,315,nonveg
Stephanie Parks,-94,1964-02-18,Female,married,29.91,302,Non Vegetarian
Rachel Byrd,111,1912-05-15,Female,Married,37.36,488,Non-Vegetarian
Tyler Campbell,101,1922-07-03,Female,s,27.07,239,veg
Miguel Stewart,23,2000-05-17,male,married,31.31,307,non-veg
Lawrence Bryant,107,1916-06-09,F,Single,25.29,48,non-veg
Michael Cooper,19,1984-05-31,female,Married,39.79,243,Non Vegetarian
Mrs. Joanna Watts DDS,53,1942-05-06,Male,M,48.96,358,nonveg
Brian Thomas,51,1972-11-19,m,married,17.88,288,Non Vegetarian
Yvonne Duran,0,2023-01-05,F,Single,17.39,81,v
Cody Robinson,46,1977-11-21,male,Married,40.61,353,Vegetarian
Robert Thomas,49,1974-12-25,Male,single,13.64,243,Non-Vegetarian
Anthony Christian,115,1908-09-15,male,single,43.54,368,nv
Shannon Morris,-79,1960-10-23,F,M,44.66,330,nv
Brian Rowe,42,1981-03-13,m,s,45.24,354,Vegetarian
Teresa Wilson DDS,92,1931-02-04,male,M,29.65,481,Vegetarian
Michael Howard,111,1912-07-14,female,s,48.21,-5,non-veg
Mary Meyers,69,1954-02-24,female,married,17.74,-9,nonveg
Donna Rivera,-66,1977-07-30,m,Single,42.98,59,Non-Vegetarian
Melissa Murphy,25,1983-03-07,male,single,40.96,351,Vegetarian
Jennifer Edwards,102,1921-02-14,m,Single,40.7,389,v
Jeffery Winters,66,1957-05-04,m,s,28.97,237,veg
Robert Brown,70,1953-12-31,Male,single,18.81,427,nv
Lance Houston,102,1921-01-06,Female,Married,10.33,180,v
Gregory Perry,-52,2018-08-11,female,Single,40.94,-8,Non-Vegetarian
Keith Huber,106,1917-02-02,F,M,25.97,130,non-veg
Shelby Williams,8,2015-01-21,m,married,38.24,33,nv
Robert Johnson,85,1938-10-02,Male,s,46.73,500,v
April Martin,107,1916-04-12,Female,Single,23.38,19,v
Louis Lynn,89,1934-06-05,F,single,10.15,304,veg
Susan Williams,109,1914-07-29,m,M,41.64,164,Vegetarian
Mrs. Kerri Estrada DVM,59,1964-09-28,Male,M,34.74,383,Vegetarian
Valerie Gentry,21,2002-04-06,Male,married,49.61,370,nonveg
Mary Rogers DDS,94,1929-07-14,male,Married,27.69,428,non-veg
Jeffrey Mitchell,86,1937-02-07,Male,M,36.83,42,Non-Vegetarian
Carlos Hawkins,37,1986-11-29,male,Married,44.65,25,Non Vegetarian
Brenda Smith,80,1943-04-18,m,single,18.86,420,veg
Brian Smith,70,1953-08-28,female,married,24.27,232,Non-Vegetarian
Christine Mendez,98,1925-09-10,Male,s,49.34,424,non-veg
Samuel Smith,87,1936-10-01,male,Married,33.9,494,Vegetarian
Joshua Thompson,65,1958-05-26,Male,single,14.23,430,Non Vegetarian
Douglas Burke,76,1929-10-11,m,Single,11.26,101,Non-Vegetarian
Justin Parker,96,1927-10-02,F,married,33.4,197,Non-Vegetarian
Michelle Mclean,-92,1993-02-15,female,Married,38.6,444,Non Vegetarian
Danielle Jones,-58,1921-01-28,F,M,16.35,266,v
Jill Ballard,24,1999-03-03,female,s,10.15,358,nv
William Hawkins,92,1931-12-20,Male,s,32.56,331,v
Amber Vaughn DVM,12,2011-05-09,female,single,41.63,418,veg
Melissa Bartlett,69,1954-11-09,Male,single,30.54,64,nv
Katie Smith,115,1908-12-05,female,M,48.72,73,non-veg
Kathryn Baker,47,1976-06-06,male,Married,18.93,95,Non-Vegetarian
Vincent Preston,66,1957-05-18,F,M,33.92,355,veg
Nicole Camacho,33,1990-03-21,Male,married,36.21,499,Non Vegetarian
Nichole Phillips,-28,2018-05-20,male,single,36.71,439,nv
Gavin Allison,114,1909-02-28,male,single,45.6,362,Vegetarian
Jasmine Graham,22,2001-05-19,Female,M,36.48,333,Vegetarian
John Austin DDS,79,1944-04-23,Female,Married,38.77,478,Non Vegetarian
Caitlin Dominguez,87,1936-07-05,Female,M,36.9,222,veg
Vanessa Tran,29,1994-12-10,female,Married,47.65,157,Non Vegetarian
Maureen Patel,113,1910-04-27,male,married,26.71,64,non-veg
Travis Daniels,48,1910-07-15,m,Married,35.54,210,Non Vegetarian
Mason Gonzalez,71,1952-02-29,female,s,40.58,427,nonveg
Karen Contreras MD,48,1975-10-08,Male,s,10.03,137,Non Vegetarian
David Ross,35,1988-01-09,Female,Single,48.14,73,v
Rachel Crawford,62,1951-05-30,Female,Married,26.29,343,non-veg
Anna Waters,46,1977-05-19,Male,Single,25.77,256,nv
Megan Wilcox,11,2012-08-26,female,married,11.97,28,v
Melissa Petty,10,2013-09-05,female,single,16.21,25,veg
Bradley Hatfield,33,1990-10-12,Male,s,42.86,97,non-veg
Pamela Johnson,5,2018-06-11,Male,Married,26.28,268,Non-Vegetarian
Jessica Morales,-95,1997-03-26,Female,married,49.68,496,Non-Vegetarian
Patrick Gomez,43,1966-10-22,female,Single,18.02,7,Non Vegetarian
Julie Graves,28,1995-08-12,female,s,43.66,350,Non-Vegetarian
Jackie Wilson,48,1975-06-06,male,single,18.61,367,v
William Sullivan,-64,1992-12-21,F,s,20.51,201,nonveg
James Hernandez,77,2021-09-05,male,married,32.16,192,Vegetarian
William Page,16,1956-01-31,female,married,22.95,232,nonveg
Alex Sellers,-54,2008-11-16,m,s,47.2,449,non-veg
Howard Jarvis,37,1986-03-09,female,married,11.98,411,nonveg
James Mason,33,1990-08-04,F,married,24.15,13,veg
Katrina Hall,105,1918-01-06,female,married,37.86,449,Vegetarian
Cassandra Parker,87,1936-12-16,female,single,42.39,320,veg
Julie Hutchinson,112,1911-12-14,Male,Single,37.14,329,nonveg
Shelby Scott,97,1926-04-14,female,s,17.32,205,v
Jamie Roberts,31,1992-06-13,Male,single,18.8,-1,Vegetarian
Antonio Moss,-74,1970-08-28,male,single,22.6,329,v
Michael Horne,78,1945-07-05,female,s,20.73,375,Vegetarian
Grace Copeland,45,1978-06-22,F,Married,44.31,361,v
Christina Contreras,32,1991-11-02,female,married,42.99,451,v
Sarah Martin,47,1976-06-07,male,M,15.22,495,veg
Susan Alexander,76,1992-02-23,male,Single,37.42,4,Vegetarian
Elizabeth Gregory,67,1925-01-01,male,M,37.81,321,v
Aaron West,22,2001-08-03,female,Single,46.16,63,Vegetarian
Kristin Hood,103,1920-03-16,female,s,38.95,370,Non-Vegetarian
Kristin Stevenson,14,2009-11-19,F,M,33.96,211,nv
Shane Farrell,78,1945-07-14,Male,single,35.55,140,Non Vegetarian
Sabrina Chandler,93,1930-09-26,Male,married,20.93,36,nv
Kevin Diaz,57,1966-02-09,Male,s,42.97,9,Non Vegetarian
Philip Garcia,74,1949-04-17,m,married,41.18,284,veg
Isaac Davis,-12,1920-04-18,F,Single,24.74,318,nv
Louis Obrien,38,1985-01-22,female,Single,14.01,447,Vegetarian
Kimberly Harris,23,2000-07-14,female,married,40.8,160,nonveg
Michelle Howard,70,1953-11-28,F,M,13.68,472,non-veg
Jason Diaz,114,1909-05-24,Male,Single,43.49,473,v
Karen Peck MD,53,1970-01-19,F,single,46.27,362,Vegetarian
Kathleen Olsen MD,63,1960-10-10,F,Married,28.92,179,veg
Jessica Hernandez,95,1928-05-15,F,married,38.29,76,non-veg
Jordan Beck,104,1919-07-24,female,M,47.6,326,Non-Vegetarian
Jennifer Hall,105,1918-12-28,m,s,40.5,87,veg
Christopher Brown DDS,52,1909-02-21,F,M,40.54,472,v
Lauren Franklin,3,2020-11-22,Male,M,37.49,18,Non Vegetarian
James Medina,26,1997-06-02,Female,single,13.9,74,nv
Thomas Barnes,0,1999-03-25,male,s,36.66,479,Non-Vegetarian
Grant Jackson,77,1946-08-31,female,married,28.02,134,nonveg
Wendy Wyatt,83,1940-07-18,Female,single,12.17,289,non-veg
Diana Singleton,77,1946-04-14,Female,Single,36.34,419,v
Christian Sullivan,54,1969-10-27,male,Married,12.44,125,nonveg
Pamela Gonzalez,24,1999-04-28,male,Married,42.78,422,v
Sylvia Thompson,62,1998-01-05,male,M,28.42,249,nv
Howard Miller,43,1980-11-16,male,M,18.76,7,veg
Barbara Gregory,52,1971-01-29,female,married,44.69,312,veg
Samantha Freeman,-7,1949-12-10,male,single,16.39,200,v
Jessica Baker,84,1950-07-15,F,s,17.28,500,v
Kaylee Jenkins,98,1925-06-28,F,single,20.86,314,nv
Nancy Ruiz,100,1923-07-17,F,married,42.55,319,veg
Heather Park,8,2015-01-22,Female,M,49.48,39,Non Vegetarian
Christian Hicks,39,1984-10-01,female,M,29.35,112,v
Wesley Moreno,86,1994-08-31,female,Married,23.66,169,Non Vegetarian
Terri Carr,79,1944-04-24,male,single,16.84,490,Vegetarian
Marc Sherman,-94,1956-01-18,m,s,39.88,-4,nv
John Williams,-100,1965-07-02,m,Married,46.66,136,Non Vegetarian
Hailey Pearson,13,2010-04-22,F,s,39.85,356,nonveg
Jeffrey Grant,-28,1993-06-13,m,M,19.94,249,non-veg
Rachel Lee,-65,1952-08-10,F,Married,29.29,32,Vegetarian
Charles Miles,-60,1943-07-02,Male,married,15.2,489,nonveg
Dennis Lester,26,1997-07-04,m,married,14.75,376,v
Anthony Richmond,30,1993-01-01,male,M,43.92,181,Non Vegetarian
Darrell Abbott,40,1983-11-16,female,s,20.75,174,nonveg
Norma Myers,45,1978-08-16,m,Married,17.7,246,nv
Lori Parks,66,1957-03-31,Male,single,30.95,13,nv
Kristina Moore,110,1913-03-15,Female,s,16.64,276,Non Vegetarian
James Garcia,99,1924-07-07,Female,single,33.16,315,nv
Richard Marsh,102,1921-09-05,male,M,35.3,212,Vegetarian
Joseph Christian,75,1948-12-24,Female,M,12.1,288,Non-Vegetarian
Chris Larsen,-98,1941-04-05,Male,married,49.02,34,Vegetarian
Amanda Green,107,1916-08-26,Female,Married,15.71,348,nv
William Wallace,51,1972-05-17,female,Single,45.23,256,nv
Jeremy Benson,99,1924-10-19,Female,s,29.6,303,nv
Matthew Huynh,47,1976-06-14,Male,s,21.55,212,veg
Charles Eaton,115,1908-06-16,Male,Single,40.11,152,nv
Diane Pierce,25,1998-09-14,Female,s,30.44,219,non-veg
Linda Anderson,-25,1927-06-26,female,s,21.61,366,Vegetarian
William Shaw,15,2008-11-02,Male,single,26.46,432,non-veg
Michael Stewart,36,1987-01-09,F,married,11.63,353,Vegetarian
Thomas Webb,67,1956-05-04,male,M,10.57,412,Non Vegetarian
Sean Church,4,2019-12-21,m,Single,13.53,44,Non-Vegetarian
Lindsey Walker,64,1964-03-24,m,single,30.27,377,Vegetarian
Jennifer Wagner,72,1951-05-07,female,single,33.83,12,nonveg
Doris Andrews,-85,1970-04-12,male,s,15.03,200,Vegetarian
Laura Rivera,33,1990-03-08,Male,single,19.3,336,nv
Grace Scott,2,2021-06-20,Male,Married,11.09,119,nv
Andrew Olson,53,1970-05-15,female,single,21.2,220,Non-Vegetarian
Amy Frederick,112,1911-02-04,F,M,17.53,53,Non Vegetarian
Michelle Vance,94,1929-03-19,Male,s,13.56,414,Vegetarian
Joe Gordon,106,1917-08-19,Female,s,42.52,421,non-veg
Patrick Vargas,98,1925-12-08,F,married,27.63,226,Non Vegetarian
April Patterson,109,1914-01-04,female,married,44.99,495,nonveg
Jonathan Savage,15,2008-08-15,Male,Married,41.26,122,veg
Jacob Baird,115,1908-04-25,female,married,37.03,-5,Vegetarian
Todd Kelly,67,1956-09-25,male,Single,45.3,500,Non Vegetarian
William Lee,-15,1949-06-17,Male,Single,23.93,47,Vegetarian
Brent Carter,-16,1943-02-10,Male,s,23.04,349,v
Brandi Rubio,56,1967-04-23,Female,s,16.48,284,veg
Eric Brown,106,1917-05-10,female,Married,32.87,489,nonveg
George Morgan,-74,1919-10-26,female,Single,44.36,363,non-veg
Joshua King,84,1975-11-09,female,married,38.55,248,Non Vegetarian
Lisa Walters,82,1941-06-10,female,married,15.94,488,nv
Andrea Martin,4,2019-06-10,m,Single,40.05,33,Non Vegetarian
Michael Bowman,64,1959-08-10,F,M,48.33,97,v
Rita Lang,54,1969-07-07,Female,M,42.03,366,nv
Stephanie Brown,-77,2013-10-15,Female,Single,14.54,270,non-veg
Chad Miller,67,1938-11-23,Female,married,29.98,81,Non Vegetarian
Benjamin Sullivan,-84,1956-03-02,Male,married,10.72,482,Non-Vegetarian
Todd Bennett,43,1980-03-08,male,Single,14.91,439,nv
Karen Martin,91,1932-09-22,m,married,47.92,181,nv
George Bright,3,1999-05-31,Male,single,43.75,187,non-veg
Timothy Diaz,66,1953-01-06,F,married,22.44,125,non-veg
Thomas Sparks,-60,1993-02-05,F,married,22.53,384,Vegetarian
David Williams,49,1933-09-01,female,M,27.77,494,nonveg
Stephanie Jones,72,1951-07-19,male,married,16.67,242,Vegetarian
